Tarallo dolce al pistacchio,Sweet pistachio tarallo
Tarallo dolce con mandorla,Sweet tarallo with almond
Tarallo dolce al vino rosso,Sweet tarallo with red wine 
Tarallo dolce con gocce di cioccolato,Sweet tarallo with chocolate drops
Treccia dolce con mandorla,Sweet braid with almond
Treccia salata con mandorla,Salted braid with almond
Taralli alla rapa,Turnip taralli
Taralli al grano arso,Burnt wheat taralli
Friselle integrali,Whole grain friselle
Friselle,Friselle
Rice,Rice chips
Lupini,Lupines
Acciughe piccole,Small anchovies
Capperi,Capers
Capperi piccoli,Small capers
Capperi da aperitivo (in acqua e aceto o in acqua e sale),Aperitif capers (in water and vinegar or in water and salt)
Capperi grossi,Big capers
Cipolle borettane,Borettane onions
Funghi muschio,Moss mushrooms
Condiriso,Rice seasoning
Cardoncello shiitake,Shiitake mushroom
Peperoncino,Chili pepper
Pomodori secchi,Dried tomatoes
Peperoni in acqua e aceto,Peppers in water and vinegar
Misto funghi,Mixed mushrooms
Aglio,Garlic
Melanzane piccanti,Spicy eggplants
Lampascioni,Lampascioni
Insalata giardiniera,Giardiniera salad
Funghetti,Small mushrooms
Carciofi,Artichokes
Funghi trifolati,Trifoliated mushrooms
Funghi Pleurotus,Pleurotus mushrooms
Funghi chiodino,Snail mushrooms
Peperoni in acqua e sale,Peppers in water and salt
Taralli aglio e peperoncino,Taralli garlic and chili
Taralli a chiocciola,Snail taralli
Taralli normali,Normal taralli
Taralli curcuma e zenzero,Taralli turmeric and ginger
Taralli alle rape,Taralli with turnips
Taralli a chiocciola grandi,Large snail taralli
Taralli uva passa e cipolla,Taralli raisins and onion
Taralli ai cereali,Cereal taralli
Taralli classici,Classic taralli
Taralli al finocchio,Taralli with fennel
Taralli alla fecola di patate,Taralli with potato starch
Taralli pomodoro olive e origano,Taralli tomato olives and oregano
Taralli mediterranei,Mediterranean taralli
Taralli alla cipolla,Onion taralli
Semi di zucca,Pumpkin seeds
Noci,Walnuts
Arachidi,Peanuts
Ceci,Chickpeas
Nocciole,Hazelnuts
Fichi secchi,Dried figs
Mandorle california,California almonds
Mandorle bianche,White almonds
Noci brasiliane,Brazil nuts
Fave fritte intere,Whole fried beans
Mandorle paesane,Country Almonds
Fave fritte decorticate,Hulled fried broad beans
Mandorle morbide con buccia,Soft almonds with peel
Pistacchio,Pistachio
Noci brasiliane sgusciate,Shelled Brazil nuts
Castagne,Chestnuts
Nocciole sgusciate,Shelled hazelnuts
Anacardi,Cashews
Olive greche piccanti,Spicy Greek olives
Olive baresi,Bari-type olives
Olive nere inchiostro,Black ink olives
Leccino,Leccino olive
Olive da aperitivo salate snocciolate,Salted pitted aperitif olives
Olive baresi rosate,Pink Bari-type olives
Olive da aperitivo a rondelle,Aperitif olives in rounds
Olive siciliane,Sicilian olives
Olive amarette,Bitter olives
Olive greche,Greek olives
Olive nere al forno dolci,Baked sweet black olives
Olive nere inchiostro snocciolate,Pitted ink black olives
Olive greche snocciolate,Pitted Greek olives
Olive da aperitivo salate,Salted aperitif olives
Olive verdi in calce,Green olives in lime
